alpha.air,alpha.solid,alpha.water,p_rgh,Points_0,Points_1,Points_2,U.water_Magnitude
0,0,1,99870.9,0,0,0,0
0,0,1,99870.9,3.75e-05,0,0,0
0,0,1,99870.9,7.5e-05,0,0,0
0,0,1,99870.9,0.0001125,0,0,0
0,0,1,99870.9,0.00015,0,0,0
0,0,1,99870.9,0.0001875,0,0,0
0,0,1,99870.9,0.000225,0,0,0
0,0,1,99870.9,0.0002625,0,0,0
0,0,1,99870.9,0.0003,0,0,0
0,0,1,99870.9,0.0003375,0,0,0
0,0,1,99870.9,0.000375,0,0,0
0,0,1,99870.8,0.0004125,0,0,0
0,0,1,99870.8,0.00045,0,0,0
0,0,1,99870.8,0.0004875,0,0,0
0,0,1,99870.8,0.000525,0,0,0
0,0,1,99870.8,0.0005625,0,0,0
0,0,1,99870.7,0.0006,0,0,0
0,0,1,99870.7,0.0006375,0,0,0
0,0,1,99870.7,0.000675,0,0,0
0,0,1,99870.6,0.0007125,0,0,0
0,0,1,99870.6,0.00075,0,0,0
0,0,1,99870.5,0.0007875,0,0,0
0,0,1,99870.5,0.000825,0,0,0
0,0,1,99870.5,0.0008625,0,0,0
0,0,1,99870.5,0.0009,0,0,0
0,0,1,99870.4,0.0009375,0,0,0
0,0,1,99870.3,0.000975,0,0,0
0,0,1,99870.3,0.0010125,0,0,0
0,0,1,99870.2,0.00105,0,0,0
0,0,1,99870.2,0.0010875,0,0,0
0,0,1,99870.2,0.001125,0,0,0
0,0,1,99870.2,0.0011625,0,0,0
0,0,1,99870.1,0.0012,0,0,0
0,0,1,99870.1,0.0012375,0,0,0
0,0,1,99870,0.001275,0,0,0
0,0,1,99870,0.0013125,0,0,0
0,0,1,99870,0.00135,0,0,0
0,0,1,99870,0.0013875,0,0,0
0,0,1,99870,0.001425,0,0,0
0,0,1,99870,0.0014625,0,0,0
0,0,1,99870,0.0015,0,0,0
0,0,1,99869.9,0.0015375,0,0,0
0,0,1,99869.9,0.001575,0,0,0
0,0,1,99870,0.0016125,0,0,0
0,0,1,99870,0.00165,0,0,0
0,0,1,99870,0.0016875,0,0,0
0,0,1,99870,0.001725,0,0,0
0,0,1,99870,0.0017625,0,0,0
0,0,1,99870,0.0018,0,0,0
0,0,1,99870,0.0018375,0,0,0
0,0,1,99870.1,0.001875,0,0,0
0,0,1,99870.1,0.0019125,0,0,0
0,0,1,99870.2,0.00195,0,0,0
0,0,1,99870.2,0.0019875,0,0,0
0,0,1,99870.2,0.002025,0,0,0
0,0,1,99870.2,0.0020625,0,0,0
0,0,1,99870.3,0.0021,0,0,0
0,0,1,99870.3,0.0021375,0,0,0
0,0,1,99870.3,0.002175,0,0,0
0,0,1,99870.4,0.0022125,0,0,0
0,0,1,99870.4,0.00225,0,0,0
0,0,1,99870.5,0.0022875,0,0,0
0,0,1,99870.5,0.002325,0,0,0
0,0,1,99870.5,0.0023625,0,0,0
0,0,1,99870.5,0.0024,0,0,0
0,0,1,99870.5,0.0024375,0,0,0
0,0,1,99870.6,0.002475,0,0,0
0,0,1,99870.6,0.0025125,0,0,0
