alpha.air,alpha.solid,alpha.water,p_rgh,Points_0,Points_1,Points_2,U.water_Magnitude
0,0,1,99943.3,0.00105,3.75e-05,0,9.4416e-05
0,0,1,99943.3,0.0010875,3.75e-05,0,8.89005e-05
0,0,1,99943.3,0.001125,3.75e-05,0,8.27545e-05
0,0,1,99943.3,0.0011625,3.75e-05,0,7.60121e-05
0,0,1,99943.3,0.0012,3.75e-05,0,6.87142e-05
0,0,1,99943.3,0.0012375,3.75e-05,0,6.09085e-05
0,0,1,99943.3,0.001275,3.75e-05,0,5.26499e-05
0,0,1,99943.3,0.0013125,3.75e-05,0,4.40024e-05
0,0,1,99943.3,0.00135,3.75e-05,0,3.50425e-05
0,0,1,99943.3,0.0013875,3.75e-05,0,2.58728e-05
0,0,1,99943.3,0.001425,3.75e-05,0,1.66822e-05
0,0,1,99943.3,0.0014625,3.75e-05,0,8.21392e-06
0,0,1,99943.3,0.0015,3.75e-05,0,6.65064e-06
0,0,1,99943.3,0.0015375,3.75e-05,0,1.44942e-05
0,0,1,99943.3,0.001575,3.75e-05,0,2.36776e-05
0,0,1,99943.3,0.0016125,3.75e-05,0,3.29505e-05
0,0,1,99943.3,0.00165,3.75e-05,0,4.20705e-05
0,0,1,99943.3,0.0016875,3.75e-05,0,5.0921e-05
0,0,1,99943.3,0.001725,3.75e-05,0,5.94183e-05
0,0,1,99943.3,0.0017625,3.75e-05,0,6.74929e-05
0,0,1,99943.3,0.0018,3.75e-05,0,7.50846e-05
0,0,1,99943.3,0.0018375,3.75e-05,0,8.21405e-05
0,0,1,99943.3,0.001875,3.75e-05,0,8.86154e-05
0,0,1,99943.3,0.0019125,3.75e-05,0,9.44698e-05
0,0,1,99943.3,0.00195,3.75e-05,0,9.96718e-05
0,0,1,99943.3,0.0019875,3.75e-05,0,0.000104196
0,0,1,99943.3,0.002025,3.75e-05,0,0.000108022
0,0,1,99943.3,0.0020625,3.75e-05,0,0.000111137
0,0,1,99943.3,0.0021,3.75e-05,0,0.000113532
0,0,1,99943.3,0.0021375,3.75e-05,0,0.000115206
0,0,1,99943.3,0.002175,3.75e-05,0,0.000116161
0,0,1,99943.3,0.0022125,3.75e-05,0,0.000116405
0,0,1,99943.3,0.00225,3.75e-05,0,0.00011595
0,0,1,99943.3,0.0022875,3.75e-05,0,0.00011481
0,0,1,99943.3,0.002325,3.75e-05,0,0.000113003
0,0,1,99943.3,0.0023625,3.75e-05,0,0.000110551
0,0,1,99943.3,0.0024,3.75e-05,0,0.000107472
0,0,1,99943.3,0.0024375,3.75e-05,0,0.000103785
0,0,1,99943.3,0.002475,3.75e-05,0,9.94951e-05
0,0,1,99943.3,0.0025125,3.75e-05,0,9.45958e-05
0,0,1,99943.3,0.00255,3.75e-05,0,8.90556e-05
0,0,1,99943.3,0.0025875,3.75e-05,0,8.28136e-05
0,0,1,99943.3,0.002625,3.75e-05,0,7.57798e-05
0,0,1,99943.3,0.0026625,3.75e-05,0,6.78515e-05
0,0,1,99943.3,0.0027,3.75e-05,0,5.89536e-05
0,0,1,99943.3,0.0027375,3.75e-05,0,4.91078e-05
0,0,1,99943.3,0.002775,3.75e-05,0,3.85247e-05
0,0,1,99943.3,0.0028125,3.75e-05,0,2.76944e-05
0,0,1,99943.3,0.00285,3.75e-05,0,1.7417e-05
0,0,1,99943.3,0.0028875,3.75e-05,0,8.71702e-06
0,0,1,99943.3,0.002925,3.75e-05,0,2.57872e-06
0,0,1,99943.3,0.0029625,3.75e-05,0,4.55435e-07
0,0,1,99943.3,0.003,3.75e-05,0,0
0,0,1,99943.3,0,7.5e-05,0,0
0,0,1,99943.3,3.75e-05,7.5e-05,0,4.17745e-06
0,0,1,99943.3,7.5e-05,7.5e-05,0,1.40519e-05
0,0,1,99943.3,0.0001125,7.5e-05,0,2.79144e-05
0,0,1,99943.3,0.00015,7.5e-05,0,4.45201e-05
0,0,1,99943.3,0.0001875,7.5e-05,0,6.26399e-05
0,0,1,99943.3,0.000225,7.5e-05,0,8.10714e-05
0,0,1,99943.3,0.0002625,7.5e-05,0,9.88228e-05
0,0,1,99943.3,0.0003,7.5e-05,0,0.000115244
0,0,1,99943.3,0.0003375,7.5e-05,0,0.000130028
0,0,1,99943.3,0.000375,7.5e-05,0,0.000143126
0,0,1,99943.3,0.0004125,7.5e-05,0,0.000154635
0,0,1,99943.3,0.00045,7.5e-05,0,0.000164705
0,0,1,99943.3,0.0004875,7.5e-05,0,0.000173475
0,0,1,99943.3,0.000525,7.5e-05,0,0.000181048
0,0,1,99943.3,0.0005625,7.5e-05,0,0.000187484
0,0,1,99943.3,0.0006,7.5e-05,0,0.000192806
0,0,1,99943.3,0.0006375,7.5e-05,0,0.000197011
0,0,1,99943.3,0.000675,7.5e-05,0,0.000200084
0,0,1,99943.3,0.0007125,7.5e-05,0,0.000201999
0,0,1,99943.3,0.00075,7.5e-05,0,0.000202731
0,0,1,99943.3,0.0007875,7.5e-05,0,0.000202257
0,0,1,99943.3,0.000825,7.5e-05,0,0.000200557
0,0,1,99943.3,0.0008625,7.5e-05,0,0.00019762
0,0,1,99943.3,0.0009,7.5e-05,0,0.000193441
0,0,1,99943.3,0.0009375,7.5e-05,0,0.000188022
0,0,1,99943.3,0.000975,7.5e-05,0,0.000181374
0,0,1,99943.3,0.0010125,7.5e-05,0,0.00017352
0,0,1,99943.3,0.00105,7.5e-05,0,0.00016449
0,0,1,99943.3,0.0010875,7.5e-05,0,0.000154326
0,0,1,99943.3,0.001125,7.5e-05,0,0.000143081
0,0,1,99943.3,0.0011625,7.5e-05,0,0.000130824
0,0,1,99943.3,0.0012,7.5e-05,0,0.000117635
0,0,1,99943.3,0.0012375,7.5e-05,0,0.000103613
0,0,1,99943.3,0.001275,7.5e-05,0,8.88812e-05
0,0,1,99943.3,0.0013125,7.5e-05,0,7.35999e-05
0,0,1,99943.3,0.00135,7.5e-05,0,5.80076e-05
0,0,1,99943.3,0.0013875,7.5e-05,0,4.25493e-05
0,0,1,99943.3,0.001425,7.5e-05,0,2.84008e-05
0,0,1,99943.3,0.0014625,7.5e-05,0,1.97597e-05
0,0,1,99943.3,0.0015,7.5e-05,0,2.41179e-05
0,0,1,99943.3,0.0015375,7.5e-05,0,3.71716e-05
0,0,1,99943.3,0.001575,7.5e-05,0,5.26648e-05
0,0,1,99943.3,0.0016125,7.5e-05,0,6.87189e-05
0,0,1,99943.3,0.00165,7.5e-05,0,8.47125e-05
0,0,1,99943.3,0.0016875,7.5e-05,0,0.000100344
0,0,1,99943.3,0.001725,7.5e-05,0,0.000115418
0,0,1,99943.3,0.0017625,7.5e-05,0,0.000129787
0,0,1,99943.3,0.0018,7.5e-05,0,0.000143331
0,0,1,99943.3,0.0018375,7.5e-05,0,0.000155948
0,0,1,99943.3,0.001875,7.5e-05,0,0.000167551
0,0,1,99943.3,0.0019125,7.5e-05,0,0.000178067
0,0,1,99943.3,0.00195,7.5e-05,0,0.000187436
0,0,1,99943.3,0.0019875,7.5e-05,0,0.000195609
0,0,1,99943.3,0.002025,7.5e-05,0,0.000202548
0,0,1,99943.3,0.0020625,7.5e-05,0,0.000208228
0,0,1,99943.3,0.0021,7.5e-05,0,0.00021263
0,0,1,99943.3,0.0021375,7.5e-05,0,0.00021575
0,0,1,99943.3,0.002175,7.5e-05,0,0.000217589
0,0,1,99943.3,0.0022125,7.5e-05,0,0.000218155
